fid,MDI_IDENT,STATUS_ID,STATUS,NAME,All_NAMES,DEP_CLASS,P_COMMOD,S_COMMOD,RGP_DIST,TWP_AREA,LL_DATUM,LATITUDE,LONGITUDE,DETAIL,potentiel
949,MDI52M01SW00055,1004,Occurrence,Foley Lake,"Foley Lake, Minorex #2 Occurrence",,Gold,Nickel,Red Lake,Ball,NAD83,51.031069000000002,-94.259771999999998,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI52M01SW00055,Modéré
951,MDI42A05NW00016,1004,Occurrence,Massey Property,"Mageau Property, Mageau-Dumont Property, Massey Property",,"Cobalt, Copper, Nickel",,Timmins,Whitesides,NAD83,48.449744000000003,-81.794190000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A05NW00016,Fort
952,MDI41I11NW00008,1005,Past Producing Mine,Boundary Mine,Boundary Mine,,"Copper, Nickel","Cobalt, Gold, Iridium, Iron, Palladium, Platinum, Rhodium, Ruthenium, Selenium, Silver",Sudbury,Levack,NAD83,46.632019000000000,-81.391886000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I11NW00008,Très fort
961,MDI42A15SW00039,1008,Prospect,Bridgeport DH MC08-3,"Arrow Timber Property, Bridgeport DH MC08-3, CUNNISON SAMPLE McC-20, Oconnor Property",Mafic-Ultramafic Intrusion,"Asbestos, Nickel","Cobalt, Gold",Timmins,McCart,NAD83,48.775834000000003,-80.878140999999999,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A15SW00039,Fort
964,MDI000000001924,1004,Occurrence,Copper Zone,"Copper Zone, Legris Lake Property",,"Copper, Nickel","Palladium, Platinum",Thunder Bay South,Whitefin Lake Area,NAD83,49.123615000000001,-89.486113000000003,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000001924,Intermédiaire
965,MDI41I07NW00049,1004,Occurrence,Pershland South,Pershland South,,"Copper, Nickel",Sulphur/Pyrite,Sudbury,Dryden,NAD83,46.499034000000002,-80.802862000000005,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I07NW00049,Très fort
968,MDI42B09NW00010,1004,Occurrence,Stratabound DDH SF-96-3,Stratabound DDH SF-96-3,,Nickel,Copper,Timmins,Belford,NAD83,48.700986999999998,-82.329344000000006,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09NW00010,Fort
970,MDI41J08NE00019,1003,Discretionary Occurrence,East Bull Lake Gallo Showing #5,East Bull Lake Gallo Showing #5,"Mafic-Ultramafic Intrusion, Magmatic","Palladium, Platinum","Copper, Nickel",Sudbury,Boon,NAD83,46.430466000000003,-82.134338000000000,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41J08NE00019,Très fort
973,MDI42A14SE00033,1004,Occurrence,Inco DDH 18172,"Anomaly 8-104, Hollinger Mann 5 Property, Inco DDH 18172, Inco North",,"Nickel, Zinc",Copper,Timmins,Mann,NAD83,48.841971000000001,-81.023878999999994,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42A14SE00033,Fort
978,MDI41I14SE00024,1003,Discretionary Occurrence,Joe Lake Occurrence,"Joe Lake Occurrence, Ryanor Mining Property",Mafic-Ultramafic Intrusion,"Copper, Nickel",,Sudbury,Wisner,NAD83,46.750295999999999,-81.001334999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI41I14SE00024,Très fort
981,MDI000000000421,1004,Occurrence,Pashkokogan River,Pashkokogan River,Mafic-Ultramafic Intrusion,"Copper, Nickel",,Thunder Bay North,Caron Lake Area,NAD83,51.039138000000001,-90.214326999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI000000000421,Intermédiaire
982,MDI42B09NW00007,1004,Occurrence,Keevil Mining DDH 66-7,"Ivanhoe-Watson, Keevil Mining DDH 66-7",,Nickel,Copper,Timmins,Watson,NAD83,48.713369999999998,-82.336191999999997,https://www.geologyontario.mines.gov.on.ca/persistent-linking?mineral-inventory=MDI42B09NW00007,Fort
